dimension,toy_a,toy_b,winner,timestamp
expressive_range,knex,maracas,knex,2025-12-26T23:18:40.228Z
expressive_range,knex,marvel-legends,tie,2025-12-26T23:18:40.949Z
expressive_range,knex,meccano,tie,2025-12-26T23:18:41.745Z
expressive_range,knex,memory-match,knex,2025-12-26T23:18:42.428Z
expressive_range,knex,modeling-clay,modeling-clay,2025-12-26T23:18:43.091Z
expressive_range,labyrinth,music-activity-table,music-activity-table,2025-12-26T23:18:43.750Z
expressive_range,labyrinth,needoh,labyrinth,2025-12-26T23:18:44.412Z
expressive_range,labyrinth,number-puzzles,tie,2025-12-26T23:18:45.070Z
expressive_range,labyrinth,pj-masks-figures,pj-masks-figures,2025-12-26T23:18:45.761Z
expressive_range,labyrinth,play-doh,play-doh,2025-12-26T23:18:46.748Z
sensory_engagement,checkers,chess-for-kids,tie,2025-12-26T23:18:48.489Z
sensory_engagement,checkers,chutes-and-ladders,tie,2025-12-26T23:18:49.114Z
sensory_engagement,checkers,connect-four,connect-four,2025-12-26T23:18:49.740Z
sensory_engagement,checkers,cozy-coupe,cozy-coupe,2025-12-26T23:18:50.366Z
developmental_longevity,badminton-set,baseball-tee-set,badminton-set,2025-12-26T23:18:50.767Z
sensory_engagement,checkers,crayons,crayons,2025-12-26T23:18:51.298Z
developmental_longevity,badminton-set,botley,badminton-set,2025-12-26T23:18:51.734Z
sensory_engagement,croquet-set,cuisenaire-rods,croquet-set,2025-12-26T23:18:52.016Z
developmental_longevity,badminton-set,bruder-construction-truck,badminton-set,2025-12-26T23:18:52.410Z
sensory_engagement,croquet-set,doctor-kit,croquet-set,2025-12-26T23:18:52.692Z
developmental_longevity,badminton-set,bug-vacuum-explorer-kit,badminton-set,2025-12-26T23:18:53.095Z
sensory_engagement,croquet-set,dolls,dolls,2025-12-26T23:18:53.386Z
developmental_longevity,badminton-set,building-gears,badminton-set,2025-12-26T23:18:53.791Z
sensory_engagement,croquet-set,dominoes,croquet-set,2025-12-26T23:18:54.088Z
developmental_longevity,busy-board,candy-land,candy-land,2025-12-26T23:18:54.559Z
sensory_engagement,croquet-set,duplo,tie,2025-12-26T23:18:54.852Z
developmental_longevity,busy-board,catan-junior,catan-junior,2025-12-26T23:18:55.234Z
developmental_longevity,busy-board,chess-for-kids,chess-for-kids,2025-12-26T23:18:56.042Z
developmental_longevity,busy-board,chew-necklace,chew-necklace,2025-12-26T23:18:56.926Z
developmental_longevity,busy-board,chutes-and-ladders,chutes-and-ladders,2025-12-26T23:18:57.613Z
expressive_range,play-food,play-kitchen,play-kitchen,2025-12-26T23:19:04.496Z
expressive_range,play-food,playmobil-castle,playmobil-castle,2025-12-26T23:19:05.166Z
expressive_range,play-food,playmobil-pirate-ship,playmobil-pirate-ship,2025-12-26T23:19:05.864Z
expressive_range,play-food,playmobil-zoo,playmobil-zoo,2025-12-26T23:19:06.844Z
expressive_range,play-food,pogo-stick,play-food,2025-12-26T23:19:07.501Z
expressive_range,playmobil-airport,pokemon-figures,tie,2025-12-26T23:19:08.164Z
expressive_range,playmobil-airport,pound-tap-bench,playmobil-airport,2025-12-26T23:19:08.840Z
expressive_range,playmobil-airport,push-toy,playmobil-airport,2025-12-26T23:19:09.536Z
expressive_range,playmobil-airport,radio-flyer-ride-on,playmobil-airport,2025-12-26T23:19:10.236Z
expressive_range,playmobil-airport,rainbow-stacker,tie,2025-12-26T23:19:11.004Z
sensory_engagement,cubetto-coding-robot,dowling-magnets-magnet-set,dowling-magnets-magnet-set,2025-12-26T23:19:19.170Z
sensory_engagement,cubetto-coding-robot,dress-up-clothes,dress-up-clothes,2025-12-26T23:19:19.807Z
sensory_engagement,cubetto-coding-robot,farm-animals,farm-animals,2025-12-26T23:19:20.433Z
sensory_engagement,cubetto-coding-robot,fat-brain-air-toobz,fat-brain-air-toobz,2025-12-26T23:19:21.233Z
sensory_engagement,cubetto-coding-robot,fidget-spinner,fidget-spinner,2025-12-26T23:19:21.868Z
sensory_engagement,finger-paint,fisher-price-imaginext,finger-paint,2025-12-26T23:19:22.595Z
developmental_longevity,climbing-dome,connect-four,connect-four,2025-12-26T23:19:22.648Z
sensory_engagement,finger-paint,flash-cards,finger-paint,2025-12-26T23:19:23.296Z
developmental_longevity,climbing-dome,cozy-coupe,climbing-dome,2025-12-26T23:19:23.349Z
sensory_engagement,finger-paint,frisbee,finger-paint,2025-12-26T23:19:24.002Z
developmental_longevity,climbing-dome,croquet-set,croquet-set,2025-12-26T23:19:24.051Z
sensory_engagement,finger-paint,gravitrax,finger-paint,2025-12-26T23:19:24.722Z
developmental_longevity,climbing-dome,crystal-growing-kit,climbing-dome,2025-12-26T23:19:24.770Z
sensory_engagement,finger-paint,gravity-maze,finger-paint,2025-12-26T23:19:25.448Z
developmental_longevity,climbing-dome,cubetto-coding-robot,climbing-dome,2025-12-26T23:19:25.503Z
developmental_longevity,crayons,dollhouse,crayons,2025-12-26T23:19:26.451Z
developmental_longevity,crayons,dolls,crayons,2025-12-26T23:19:27.127Z
developmental_longevity,crayons,dominoes,tie,2025-12-26T23:19:27.919Z
expressive_range,razor-electric-scooter,sandbox,sandbox,2025-12-26T23:19:28.580Z
developmental_longevity,crayons,dowling-magnets-magnet-set,crayons,2025-12-26T23:19:28.628Z
expressive_range,razor-electric-scooter,sarahs-silks,sarahs-silks,2025-12-26T23:19:29.385Z
developmental_longevity,crayons,drum,tie,2025-12-26T23:19:29.438Z
expressive_range,razor-electric-scooter,schleich-dinosaurs,schleich-dinosaurs,2025-12-26T23:19:30.084Z
expressive_range,razor-electric-scooter,schleich-farm-tractor,schleich-farm-tractor,2025-12-26T23:19:30.784Z
expressive_range,razor-electric-scooter,schleich-horses,schleich-horses,2025-12-26T23:19:31.763Z
expressive_range,rock-collection,scribble-scrubbie,scribble-scrubbie,2025-12-26T23:19:32.425Z
expressive_range,rock-collection,sequence-for-kids,tie,2025-12-26T23:19:33.079Z
expressive_range,rock-collection,shape-sorter,rock-collection,2025-12-26T23:19:33.756Z
expressive_range,rock-collection,snap-circuits,snap-circuits,2025-12-26T23:19:34.521Z
expressive_range,rock-collection,soccer-ball,soccer-ball,2025-12-26T23:19:35.323Z
developmental_longevity,duplo,fat-brain-air-toobz,fat-brain-air-toobz,2025-12-26T23:20:07.771Z
developmental_longevity,duplo,fidget-poppers,duplo,2025-12-26T23:20:08.549Z
developmental_longevity,duplo,fisher-price-imaginext,fisher-price-imaginext,2025-12-26T23:20:09.435Z
developmental_longevity,duplo,fisher-price-laugh-learn,duplo,2025-12-26T23:20:10.114Z
developmental_longevity,duplo,flash-cards,flash-cards,2025-12-26T23:20:10.838Z
developmental_longevity,foosball-table,frisbee,tie,2025-12-26T23:20:11.536Z
developmental_longevity,foosball-table,guess-who,tie,2025-12-26T23:20:12.302Z
developmental_longevity,foosball-table,hape-quadrilla,foosball-table,2025-12-26T23:20:13.009Z
developmental_longevity,foosball-table,hot-wheels,tie,2025-12-26T23:20:13.858Z
developmental_longevity,foosball-table,hula-hoop,tie,2025-12-26T23:20:14.554Z
expressive_range,rubiks-cube,safari-ltd-toobs,safari-ltd-toobs,2025-12-26T23:20:31.877Z
expressive_range,rubiks-cube,spot-it,tie,2025-12-26T23:20:32.721Z
expressive_range,rubiks-cube,stacking-cups,stacking-cups,2025-12-26T23:20:33.543Z
expressive_range,rubiks-cube,stacking-rings,tie,2025-12-26T23:20:34.203Z
expressive_range,rubiks-cube,star-wars-figures,star-wars-figures,2025-12-26T23:20:34.871Z
expressive_range,strider-balance-bike,teenage-mutant-ninja-turtles,teenage-mutant-ninja-turtles,2025-12-26T23:20:35.529Z
sensory_engagement,hape-quadrilla,jellycat,jellycat,2025-12-26T23:20:35.864Z
expressive_range,strider-balance-bike,tennis-racket-set,tie,2025-12-26T23:20:36.201Z
sensory_engagement,hape-quadrilla,jump-rope,hape-quadrilla,2025-12-26T23:20:36.496Z
expressive_range,strider-balance-bike,thinkfun-code-master,tie,2025-12-26T23:20:36.877Z
sensory_engagement,hape-quadrilla,jurassic-world-figures,hape-quadrilla,2025-12-26T23:20:37.155Z
expressive_range,strider-balance-bike,thinking-putty,tie,2025-12-26T23:20:37.607Z
sensory_engagement,hape-quadrilla,kid-trax-dodge-viper,hape-quadrilla,2025-12-26T23:20:38.046Z
expressive_range,strider-balance-bike,ticket-to-ride-first-journey,ticket-to-ride-first-journey,2025-12-26T23:20:38.681Z
sensory_engagement,hape-quadrilla,kids-drum-set,kids-drum-set,2025-12-26T23:20:38.727Z
sensory_engagement,hot-wheels,indestructibles-books,indestructibles-books,2025-12-26T23:20:39.393Z
sensory_engagement,hot-wheels,interactive-globe,hot-wheels,2025-12-26T23:20:40.011Z
sensory_engagement,hot-wheels,kids-microscope,hot-wheels,2025-12-26T23:20:40.640Z
sensory_engagement,hot-wheels,kids-telescope,hot-wheels,2025-12-26T23:20:41.270Z
sensory_engagement,hot-wheels,leapfrog-letter-factory,hot-wheels,2025-12-26T23:20:41.900Z
developmental_longevity,gymnastics-mat,indestructibles-books,gymnastics-mat,2025-12-26T23:20:44.129Z
developmental_longevity,gymnastics-mat,jenga,tie,2025-12-26T23:20:44.767Z
developmental_longevity,gymnastics-mat,jump-rope,tie,2025-12-26T23:20:45.435Z
developmental_longevity,gymnastics-mat,kid-trax-dodge-viper,gymnastics-mat,2025-12-26T23:20:46.175Z
developmental_longevity,gymnastics-mat,kids-drum-set,tie,2025-12-26T23:20:46.883Z
developmental_longevity,kids-golf-set,kids-keyboard,kids-keyboard,2025-12-26T23:20:47.609Z
developmental_longevity,kids-golf-set,kids-microscope,kids-microscope,2025-12-26T23:20:48.553Z
developmental_longevity,kids-golf-set,kinetic-sand,tie,2025-12-26T23:20:49.230Z
developmental_longevity,kids-golf-set,leapfrog-scoop-and-learn,kids-golf-set,2025-12-26T23:20:49.913Z
developmental_longevity,kids-golf-set,lego-city-vehicles,lego-city-vehicles,2025-12-26T23:20:50.600Z
sensory_engagement,leapfrog-scoop-and-learn,lego-city-vehicles,lego-city-vehicles,2025-12-26T23:20:59.735Z
sensory_engagement,leapfrog-scoop-and-learn,lego-classic,lego-classic,2025-12-26T23:21:00.384Z
sensory_engagement,leapfrog-scoop-and-learn,lincoln-logs,lincoln-logs,2025-12-26T23:21:01.085Z
sensory_engagement,leapfrog-scoop-and-learn,lite-brite-touch,leapfrog-scoop-and-learn,2025-12-26T23:21:01.747Z
sensory_engagement,leapfrog-scoop-and-learn,little-tikes-cozy-coupe,little-tikes-cozy-coupe,2025-12-26T23:21:02.360Z
sensory_engagement,magnetic-tiles,mbot,magnetic-tiles,2025-12-26T23:21:03.317Z
sensory_engagement,magnetic-tiles,meccano,meccano,2025-12-26T23:21:03.939Z
sensory_engagement,magnetic-tiles,music-activity-table,music-activity-table,2025-12-26T23:21:04.569Z
sensory_engagement,magnetic-tiles,needoh,needoh,2025-12-26T23:21:05.199Z
sensory_engagement,magnetic-tiles,number-puzzles,magnetic-tiles,2025-12-26T23:21:05.828Z
developmental_longevity,lego-classic,lincoln-logs,lego-classic,2025-12-26T23:21:16.910Z
developmental_longevity,lego-classic,lite-brite-touch,lego-classic,2025-12-26T23:21:17.591Z
developmental_longevity,lego-classic,little-tikes-cozy-coupe,lego-classic,2025-12-26T23:21:18.541Z
developmental_longevity,lego-classic,magnet-foam-blocks,lego-classic,2025-12-26T23:21:19.247Z
developmental_longevity,lego-classic,magnetic-tiles,lego-classic,2025-12-26T23:21:19.939Z
developmental_longevity,makedo-cardboard-tools,meccano,meccano,2025-12-26T23:21:20.608Z
developmental_longevity,makedo-cardboard-tools,memory-match,makedo-cardboard-tools,2025-12-26T23:21:21.314Z
developmental_longevity,makedo-cardboard-tools,modeling-clay,modeling-clay,2025-12-26T23:21:21.997Z
developmental_longevity,makedo-cardboard-tools,music-activity-table,makedo-cardboard-tools,2025-12-26T23:21:22.895Z
developmental_longevity,makedo-cardboard-tools,needoh,tie,2025-12-26T23:21:23.573Z
sensory_engagement,makedo-cardboard-tools,manhattan-toy-winkel,manhattan-toy-winkel,2025-12-26T23:21:26.453Z
sensory_engagement,makedo-cardboard-tools,marvel-legends,makedo-cardboard-tools,2025-12-26T23:21:27.081Z
sensory_engagement,makedo-cardboard-tools,matchbox-car-garage,makedo-cardboard-tools,2025-12-26T23:21:27.875Z
sensory_engagement,makedo-cardboard-tools,oball-classic,oball-classic,2025-12-26T23:21:28.538Z
sensory_engagement,makedo-cardboard-tools,operation,makedo-cardboard-tools,2025-12-26T23:21:29.295Z
sensory_engagement,maracas,osmo-genius-kit,maracas,2025-12-26T23:21:29.929Z
sensory_engagement,maracas,paw-patrol,maracas,2025-12-26T23:21:30.547Z
sensory_engagement,maracas,pj-masks-figures,maracas,2025-12-26T23:21:31.174Z
sensory_engagement,maracas,play-kitchen,play-kitchen,2025-12-26T23:21:31.852Z
sensory_engagement,maracas,playmobil-zoo,maracas,2025-12-26T23:21:32.505Z
developmental_longevity,marvel-legends,matchbox-car-garage,marvel-legends,2025-12-26T23:21:50.191Z
developmental_longevity,marvel-legends,number-puzzles,marvel-legends,2025-12-26T23:21:50.892Z
developmental_longevity,marvel-legends,operation,operation,2025-12-26T23:21:51.775Z
developmental_longevity,marvel-legends,osmo-genius-kit,marvel-legends,2025-12-26T23:21:52.486Z
developmental_longevity,marvel-legends,pj-masks-figures,marvel-legends,2025-12-26T23:21:53.236Z
sensory_engagement,pogo-stick,pound-tap-bench,pound-tap-bench,2025-12-26T23:21:53.288Z
sensory_engagement,pogo-stick,power-wheels,pogo-stick,2025-12-26T23:21:54.014Z
developmental_longevity,mbot,play-doh,tie,2025-12-26T23:21:54.066Z
sensory_engagement,pogo-stick,radio-flyer-ride-on,tie,2025-12-26T23:21:54.728Z
developmental_longevity,mbot,play-kitchen,mbot,2025-12-26T23:21:54.772Z
sensory_engagement,pogo-stick,rainbow-stacker,rainbow-stacker,2025-12-26T23:21:55.427Z
developmental_longevity,mbot,playmobil-airport,tie,2025-12-26T23:21:55.478Z
sensory_engagement,pogo-stick,ravensburger-puzzle,pogo-stick,2025-12-26T23:21:56.286Z
developmental_longevity,mbot,playmobil-castle,tie,2025-12-26T23:21:56.345Z
sensory_engagement,razor-electric-scooter,recorder,recorder,2025-12-26T23:21:56.998Z
developmental_longevity,mbot,playmobil-pirate-ship,tie,2025-12-26T23:21:57.049Z
sensory_engagement,razor-electric-scooter,rock-collection,rock-collection,2025-12-26T23:21:57.627Z
sensory_engagement,razor-electric-scooter,rush-hour,razor-electric-scooter,2025-12-26T23:21:58.250Z
sensory_engagement,razor-electric-scooter,sarahs-silks,sarahs-silks,2025-12-26T23:21:58.879Z
sensory_engagement,razor-electric-scooter,schleich-dinosaurs,razor-electric-scooter,2025-12-26T23:21:59.510Z
developmental_longevity,pound-tap-bench,power-wheels,power-wheels,2025-12-26T23:22:32.603Z
developmental_longevity,pound-tap-bench,radio-flyer-ride-on,tie,2025-12-26T23:22:33.303Z
developmental_longevity,pound-tap-bench,ravensburger-puzzle,ravensburger-puzzle,2025-12-26T23:22:34.321Z
expressive_range,swing-set,tangrams,tangrams,2025-12-26T23:22:34.609Z
developmental_longevity,pound-tap-bench,razor-electric-scooter,razor-electric-scooter,2025-12-26T23:22:35.006Z
expressive_range,swing-set,tonka-steel-truck,tonka-steel-truck,2025-12-26T23:22:35.292Z
developmental_longevity,pound-tap-bench,rc-monster-truck,rc-monster-truck,2025-12-26T23:22:35.726Z
expressive_range,swing-set,toy-parking-garage,toy-parking-garage,2025-12-26T23:22:36.018Z
developmental_longevity,push-toy,rainbow-stacker,rainbow-stacker,2025-12-26T23:22:36.491Z
expressive_range,swing-set,toy-tea-set,toy-tea-set,2025-12-26T23:22:36.791Z
developmental_longevity,push-toy,rubiks-cube,rubiks-cube,2025-12-26T23:22:37.208Z
expressive_range,swing-set,trampoline,swing-set,2025-12-26T23:22:37.487Z
developmental_longevity,push-toy,rush-hour,rush-hour,2025-12-26T23:22:37.887Z
expressive_range,transformers,trouble,transformers,2025-12-26T23:22:38.175Z
developmental_longevity,push-toy,safari-ltd-toobs,safari-ltd-toobs,2025-12-26T23:22:38.907Z
expressive_range,transformers,water-table,transformers,2025-12-26T23:22:39.211Z
developmental_longevity,push-toy,sandbox,sandbox,2025-12-26T23:22:39.603Z
expressive_range,transformers,weather-station,transformers,2025-12-26T23:22:39.894Z
expressive_range,transformers,weighted-blanket,transformers,2025-12-26T23:22:40.544Z
expressive_range,transformers,weighted-lap-animal,transformers,2025-12-26T23:22:41.238Z
expressive_range,tricycle,wooden-blocks,wooden-blocks,2025-12-26T23:22:58.789Z
expressive_range,tricycle,wwe-figures,wwe-figures,2025-12-26T23:22:59.517Z
expressive_range,tricycle,xylophone,xylophone,2025-12-26T23:23:00.420Z
expressive_range,tricycle,water-table,water-table,2025-12-26T23:23:01.108Z
expressive_range,tricycle,weather-station,tie,2025-12-26T23:23:01.769Z
expressive_range,ballpit,baseball-tee-set,ballpit,2025-12-26T23:23:02.419Z
expressive_range,ballpit,basketball-hoop,ballpit,2025-12-26T23:23:03.079Z
expressive_range,ballpit,brio-train-set,brio-train-set,2025-12-26T23:23:03.738Z
expressive_range,ballpit,bug-vacuum-explorer-kit,tie,2025-12-26T23:23:04.460Z
expressive_range,ballpit,building-gears,building-gears,2025-12-26T23:23:05.535Z
developmental_longevity,sarahs-silks,schleich-dinosaurs,tie,2025-12-26T23:23:09.763Z
developmental_longevity,sarahs-silks,schleich-farm-tractor,tie,2025-12-26T23:23:10.489Z
developmental_longevity,sarahs-silks,schleich-wild-animals,tie,2025-12-26T23:23:11.178Z
developmental_longevity,sarahs-silks,scribble-scrubbie,sarahs-silks,2025-12-26T23:23:11.847Z
developmental_longevity,sarahs-silks,shape-sorter,sarahs-silks,2025-12-26T23:23:12.533Z
developmental_longevity,soccer-ball,stacking-rings,soccer-ball,2025-12-26T23:23:13.235Z
developmental_longevity,soccer-ball,star-wars-figures,soccer-ball,2025-12-26T23:23:13.912Z
developmental_longevity,soccer-ball,step2-roller-coaster,soccer-ball,2025-12-26T23:23:14.682Z
developmental_longevity,soccer-ball,strider-balance-bike,soccer-ball,2025-12-26T23:23:15.544Z
developmental_longevity,soccer-ball,swing-set,tie,2025-12-26T23:23:16.335Z
expressive_range,busy-board,calico-critters,calico-critters,2025-12-26T23:23:26.073Z
expressive_range,busy-board,catan-junior,tie,2025-12-26T23:23:26.761Z
expressive_range,busy-board,chess-for-kids,tie,2025-12-26T23:23:27.415Z
expressive_range,busy-board,chew-necklace,busy-board,2025-12-26T23:23:28.070Z
expressive_range,busy-board,climbing-dome,climbing-dome,2025-12-26T23:23:28.756Z
expressive_range,cozy-coupe,crayola-art-case,crayola-art-case,2025-12-26T23:23:29.455Z
expressive_range,cozy-coupe,crayons,crayons,2025-12-26T23:23:30.471Z
expressive_range,cozy-coupe,croquet-set,cozy-coupe,2025-12-26T23:23:31.177Z
expressive_range,cozy-coupe,cubetto-coding-robot,tie,2025-12-26T23:23:31.843Z
expressive_range,cozy-coupe,cuisenaire-rods,tie,2025-12-26T23:23:32.507Z
developmental_longevity,spirograph,spot-it,spot-it,2025-12-26T23:23:37.660Z
developmental_longevity,spirograph,tambourine,tambourine,2025-12-26T23:23:38.310Z
developmental_longevity,spirograph,tangle-fidget,tangle-fidget,2025-12-26T23:23:39.001Z
developmental_longevity,spirograph,tangrams,tangrams,2025-12-26T23:23:39.845Z
developmental_longevity,spirograph,teenage-mutant-ninja-turtles,tie,2025-12-26T23:23:40.527Z
developmental_longevity,tennis-racket-set,tool-bench,tennis-racket-set,2025-12-26T23:23:41.226Z
developmental_longevity,tennis-racket-set,transformers,tennis-racket-set,2025-12-26T23:23:41.981Z
developmental_longevity,tennis-racket-set,toy-fire-truck,tennis-racket-set,2025-12-26T23:23:42.693Z
developmental_longevity,tennis-racket-set,toy-tea-set,tennis-racket-set,2025-12-26T23:23:43.380Z
developmental_longevity,tennis-racket-set,water-table,tennis-racket-set,2025-12-26T23:23:44.070Z
expressive_range,crystal-growing-kit,dinosaurs,dinosaurs,2025-12-26T23:23:52.940Z
expressive_range,crystal-growing-kit,dominoes,dominoes,2025-12-26T23:23:53.591Z
expressive_range,crystal-growing-kit,dress-up-clothes,dress-up-clothes,2025-12-26T23:23:54.253Z
expressive_range,crystal-growing-kit,drum,drum,2025-12-26T23:23:55.156Z
expressive_range,crystal-growing-kit,duplo,duplo,2025-12-26T23:23:55.818Z
sensory_engagement,schleich-horses,snap-circuits,schleich-horses,2025-12-26T23:23:56.324Z
expressive_range,etch-a-sketch,fidget-poppers,etch-a-sketch,2025-12-26T23:23:56.610Z
sensory_engagement,schleich-horses,sorry,schleich-horses,2025-12-26T23:23:56.971Z
expressive_range,etch-a-sketch,fisher-price-imaginext,fisher-price-imaginext,2025-12-26T23:23:57.299Z
sensory_engagement,schleich-horses,spirograph,schleich-horses,2025-12-26T23:23:57.619Z
expressive_range,etch-a-sketch,fisher-price-laugh-learn,etch-a-sketch,2025-12-26T23:23:57.977Z
sensory_engagement,schleich-horses,spot-it,schleich-horses,2025-12-26T23:23:58.270Z
expressive_range,etch-a-sketch,flash-cards,etch-a-sketch,2025-12-26T23:23:58.646Z
sensory_engagement,schleich-horses,step2-roller-coaster,step2-roller-coaster,2025-12-26T23:23:58.933Z
expressive_range,etch-a-sketch,foosball-table,etch-a-sketch,2025-12-26T23:23:59.350Z
sensory_engagement,schleich-wild-animals,sequence-for-kids,schleich-wild-animals,2025-12-26T23:23:59.826Z
sensory_engagement,schleich-wild-animals,shape-sorter,shape-sorter,2025-12-26T23:24:00.504Z
sensory_engagement,schleich-wild-animals,strider-balance-bike,strider-balance-bike,2025-12-26T23:24:01.132Z
sensory_engagement,schleich-wild-animals,swing-set,swing-set,2025-12-26T23:24:01.768Z
sensory_engagement,schleich-wild-animals,tambourine,tambourine,2025-12-26T23:24:02.404Z
sensory_engagement,science-kit,scribble-scrubbie,scribble-scrubbie,2025-12-26T23:24:03.046Z
sensory_engagement,science-kit,thinkfun-code-master,science-kit,2025-12-26T23:24:03.680Z
sensory_engagement,science-kit,thinking-putty,thinking-putty,2025-12-26T23:24:04.314Z
sensory_engagement,science-kit,thomas-trackmaster,thomas-trackmaster,2025-12-26T23:24:05.171Z
sensory_engagement,science-kit,ticket-to-ride-first-journey,science-kit,2025-12-26T23:24:05.826Z
sensory_engagement,tonka-steel-truck,tool-bench,tonka-steel-truck,2025-12-26T23:24:06.524Z
sensory_engagement,tonka-steel-truck,toy-fire-truck,tonka-steel-truck,2025-12-26T23:24:07.199Z
sensory_engagement,tonka-steel-truck,trampoline,trampoline,2025-12-26T23:24:07.850Z
sensory_engagement,tonka-steel-truck,trouble,tonka-steel-truck,2025-12-26T23:24:08.496Z
sensory_engagement,tonka-steel-truck,wagon,tonka-steel-truck,2025-12-26T23:24:09.169Z
sensory_engagement,tricycle,uncle-milton-ant-farm,tricycle,2025-12-26T23:24:09.953Z
sensory_engagement,tricycle,water-table,water-table,2025-12-26T23:24:10.582Z
sensory_engagement,tricycle,weather-station,tricycle,2025-12-26T23:24:11.213Z
sensory_engagement,tricycle,weighted-blanket,weighted-blanket,2025-12-26T23:24:11.850Z
sensory_engagement,tricycle,weighted-lap-animal,weighted-lap-animal,2025-12-26T23:24:12.489Z
sensory_engagement,wwe-figures,yoto-player,wwe-figures,2025-12-26T23:24:13.121Z
developmental_longevity,thinking-putty,tool-bench,thinking-putty,2025-12-26T23:24:13.549Z
sensory_engagement,wwe-figures,zingo,wwe-figures,2025-12-26T23:24:13.836Z
developmental_longevity,thinking-putty,transformers,thinking-putty,2025-12-26T23:24:14.218Z
sensory_engagement,basketball-hoop,wooden-blocks,wooden-blocks,2025-12-26T23:24:14.653Z
developmental_longevity,thinking-putty,weather-station,thinking-putty,2025-12-26T23:24:15.216Z
sensory_engagement,basketball-hoop,wwe-figures,basketball-hoop,2025-12-26T23:24:15.494Z
developmental_longevity,thinking-putty,weighted-blanket,tie,2025-12-26T23:24:15.900Z
sensory_engagement,basketball-hoop,yoto-player,basketball-hoop,2025-12-26T23:24:16.202Z
developmental_longevity,thinking-putty,weighted-lap-animal,tie,2025-12-26T23:24:16.600Z
sensory_engagement,bowling-set,brio-train-set,brio-train-set,2025-12-26T23:24:16.878Z
developmental_longevity,thomas-trackmaster,ticket-to-ride-first-journey,ticket-to-ride-first-journey,2025-12-26T23:24:17.331Z
sensory_engagement,bowling-set,bruder-construction-truck,bruder-construction-truck,2025-12-26T23:24:17.634Z
developmental_longevity,thomas-trackmaster,wooden-blocks,wooden-blocks,2025-12-26T23:24:18.071Z
sensory_engagement,bowling-set,bug-vacuum-explorer-kit,bug-vacuum-explorer-kit,2025-12-26T23:24:18.355Z
developmental_longevity,thomas-trackmaster,wwe-figures,wwe-figures,2025-12-26T23:24:18.790Z
sensory_engagement,bowling-set,calico-critters,calico-critters,2025-12-26T23:24:19.072Z
developmental_longevity,thomas-trackmaster,xylophone,xylophone,2025-12-26T23:24:19.547Z
sensory_engagement,bowling-set,candy-land,bowling-set,2025-12-26T23:24:20.086Z
developmental_longevity,thomas-trackmaster,yoto-player,yoto-player,2025-12-26T23:24:20.663Z
sensory_engagement,busy-board,cash-register,busy-board,2025-12-26T23:24:20.709Z
sensory_engagement,busy-board,chess-for-kids,busy-board,2025-12-26T23:24:21.345Z
sensory_engagement,busy-board,chutes-and-ladders,busy-board,2025-12-26T23:24:21.986Z
sensory_engagement,busy-board,connect-four,busy-board,2025-12-26T23:24:22.623Z
sensory_engagement,busy-board,cozy-coupe,cozy-coupe,2025-12-26T23:24:23.257Z
generativity,strider-balance-bike,tambourine,tambourine,2025-12-26T23:25:04.703Z
generativity,strider-balance-bike,tangle-fidget,tie,2025-12-26T23:25:05.387Z
generativity,strider-balance-bike,teenage-mutant-ninja-turtles,teenage-mutant-ninja-turtles,2025-12-26T23:25:06.360Z
generativity,strider-balance-bike,tennis-racket-set,tie,2025-12-26T23:25:07.071Z
generativity,strider-balance-bike,thinkfun-code-master,thinkfun-code-master,2025-12-26T23:25:07.737Z
generativity,ticket-to-ride-first-journey,tool-bench,tool-bench,2025-12-26T23:25:08.439Z
generativity,ticket-to-ride-first-journey,toy-fire-truck,ticket-to-ride-first-journey,2025-12-26T23:25:09.161Z
generativity,ticket-to-ride-first-journey,toy-parking-garage,tie,2025-12-26T23:25:09.839Z
generativity,ticket-to-ride-first-journey,trampoline,ticket-to-ride-first-journey,2025-12-26T23:25:10.734Z
generativity,ticket-to-ride-first-journey,trouble,ticket-to-ride-first-journey,2025-12-26T23:25:11.417Z
generativity,ukulele,uncle-milton-ant-farm,ukulele,2025-12-26T23:25:29.738Z
generativity,ukulele,wagon,ukulele,2025-12-26T23:25:30.401Z
generativity,ukulele,water-table,ukulele,2025-12-26T23:25:31.262Z
generativity,ukulele,weighted-lap-animal,ukulele,2025-12-26T23:25:31.909Z
generativity,ukulele,wooden-blocks,wooden-blocks,2025-12-26T23:25:32.569Z
generativity,doctor-kit,zingo,doctor-kit,2025-12-26T23:25:33.239Z
generativity,doctor-kit,fidget-spinner,doctor-kit,2025-12-26T23:25:33.931Z
generativity,doctor-kit,fisher-price-imaginext,fisher-price-imaginext,2025-12-26T23:25:34.595Z
generativity,doctor-kit,fisher-price-laugh-learn,doctor-kit,2025-12-26T23:25:35.286Z
generativity,doctor-kit,foosball-table,doctor-kit,2025-12-26T23:25:36.334Z
generativity,frisbee,gravitrax,gravitrax,2025-12-26T23:25:55.542Z
generativity,frisbee,gravity-maze,gravity-maze,2025-12-26T23:25:56.176Z
generativity,frisbee,gymnastics-mat,gymnastics-mat,2025-12-26T23:25:57.137Z
generativity,frisbee,indestructibles-books,indestructibles-books,2025-12-26T23:25:57.782Z
generativity,frisbee,jump-rope,jump-rope,2025-12-26T23:25:58.453Z
